GID,tif,min,max,mean,count,sum,std,median,percentile_90
1990_11,1990_11_rbr_w_offset.tif,-95.9608383178711,558.5604858398438,255.56505944517835,12869,3288866.75,101.82582538884567,253.94825744628906,394.5611450195313
1996_650,1996_650_rbr_w_offset.tif,-336.6620788574219,494.4988708496094,192.16257340178012,27077,5203186.0,168.87214931776273,205.85861206054688,408.06311645507816
1988_30,1988_30_rbr_w_offset.tif,-476.3493957519531,264.0631103515625,32.77544773391813,2394,78464.421875,151.7902199169251,63.33821105957031,199.7737976074219
2011_498,2011_498_rbr_w_offset.tif,-528.8546142578125,524.169921875,261.162661311115,73693,19245860.0,136.95849342749943,292.98626708984375,410.5310913085938
2021_2322,2021_2322_rbr_w_offset.tif,-36.764888763427734,447.8746643066406,168.13554468047752,712,119712.5078125,141.3904040082925,145.17361450195312,359.4950988769531
2021_1353,2021_1353_rbr_w_offset.tif,-173.36203002929688,461.8762512207031,226.5056795131846,2465,558336.5,129.08537193699607,252.75669860839844,380.69078979492184
2018_403,2018_403_rbr_w_offset.tif,-210.40481567382812,478.9630126953125,244.81186668777707,3158,773115.875,131.45182037342244,263.1986999511719,395.2826080322266
2023_1627,2023_1627_rbr_w_offset.tif,-48.689613342285156,527.9239501953125,264.48849126344084,1488,393558.875,182.02067725078095,320.4150695800781,465.5345428466797
2006_725,2006_725_rbr_w_offset.tif,-42.22685623168945,445.4455261230469,227.3171821572894,3217,731279.375,100.68089581936026,245.04611206054688,342.60748291015625
1996_671,1996_671_rbr_w_offset.tif,-291.8349914550781,530.6241455078125,54.551807202650856,17202,938400.1875,133.54695386607392,11.644819259643555,259.9520568847656
2018_1821,2018_1821_rbr_w_offset.tif,-151.4905548095703,460.28692626953125,235.905704008222,1946,459072.5,117.90065989481548,264.82757568359375,357.79246520996094
1996_575,1996_575_rbr_w_offset.tif,-353.3569030761719,615.435546875,123.86345385174418,13760,1704361.125,169.8593354651605,58.592288970947266,398.4480682373047
2012_1041,2012_1041_rbr_w_offset.tif,-44.475582122802734,328.0821533203125,123.17815121155638,1073,132170.15625,54.902734949777646,120.04304504394531,194.8115661621094
2024_651,2024_651_rbr_w_offset.tif,-116.96894836425781,372.28680419921875,138.87430631368267,687,95406.6484375,128.29609703283418,145.97897338867188,297.2019348144531
2003_807,2003_807_rbr_w_offset.tif,-85.49241638183594,464.95318603515625,237.20210517043952,11353,2692955.5,121.5240239406578,255.598388671875,383.7404602050783
1996_614,1996_614_rbr_w_offset.tif,-289.124267578125,448.19525146484375,107.75019314746389,14885,1603861.625,171.4402453670399,126.18931579589844,327.18792724609375
2013_1183,2013_1183_rbr_w_offset.tif,-75.98663330078125,517.1466064453125,296.19149964838255,1422,421184.3125,121.90303084185858,319.0563049316406,440.579345703125
1995_1192,1995_1192_rbr_w_offset.tif,-279.3603820800781,523.1790161132812,136.89909540995743,5403,739665.8125,202.09903809948256,143.54641723632812,401.5125732421875
1996_587,1996_587_rbr_w_offset.tif,-248.99949645996094,583.221923828125,190.47125508914783,14246,2713453.5,164.70447667422818,208.7659149169922,392.9083557128906
1996_561,1996_561_rbr_w_offset.tif,-103.43354797363281,657.2771606445312,337.0063081309098,77519,26124392.0,149.66331003358476,355.63336181640625,522.1148071289062
1996_665,1996_665_rbr_w_offset.tif,-480.1051940917969,512.8517456054688,32.995100162664876,113116,3732273.75,119.53267217887509,31.98379135131836,183.14898681640625
2023_1633,2023_1633_rbr_w_offset.tif,-117.58866882324219,450.24993896484375,189.12909007352943,1360,257215.5625,124.52713210417924,200.01889038085938,343.2386474609375
1987_1,1987_1_rbr_w_offset.tif,-436.443603515625,468.8423156738281,9.821007473673271,7217,70878.2109375,69.02061923807071,0.4160447418689728,64.03362274169925
1988_60,1988_60_rbr_w_offset.tif,-199.7940673828125,539.4320068359375,223.39864443751947,25672,5735090.0,104.51791488234774,226.22386169433594,360.6573486328126
2021_1204,2021_1204_rbr_w_offset.tif,-436.08966064453125,545.365234375,168.11431854289606,8812,1481423.375,146.34774301399716,170.59510803222656,351.71082458496096
2021_1303,2021_1303_rbr_w_offset.tif,-74.81124877929688,390.047607421875,103.37421016483516,1820,188141.0625,86.36342079201877,103.20301818847656,222.5040451049805
1999_697,1999_697_rbr_w_offset.tif,-105.29750061035156,100.26373291015625,29.827068946517777,6806,203003.03125,34.837589642235656,35.037017822265625,71.0095100402832
1999_1125,1999_1125_rbr_w_offset.tif,-16.008378982543945,439.0086669921875,237.3534097906404,406,96365.484375,105.07393738664359,230.558837890625,381.95738220214844
1996_600,1996_600_rbr_w_offset.tif,-147.4193878173828,510.595703125,216.41887530898106,3641,787981.125,135.86305459180136,209.5391845703125,406.7349853515625
1998_860,1998_860_rbr_w_offset.tif,-80.15373229980469,512.9691162109375,223.9824147933285,1379,308871.75,117.63304126512905,213.7107696533203,385.1689758300781
1987_14,1987_14_rbr_w_offset.tif,-450.6474609375,351.1819152832031,118.04697520966947,16216,1914249.75,67.93963542119216,116.89555358886719,204.54795837402344
1986_261,1986_261_rbr_w_offset.tif,-86.87943267822266,444.86456298828125,196.21182040317655,3274,642397.5,83.45977069979553,184.35513305664062,315.8491455078126
2014_2247,2014_2247_rbr_w_offset.tif,-181.8087158203125,256.8639831542969,-7.1042722481248735,4933,-35045.375,47.736844757390024,-10.855751037597656,49.309790802001956
1989_1042,1989_1042_rbr_w_offset.tif,-102.12003326416016,162.2178497314453,-2.9975109592257234,4459,-13365.9013671875,35.24151345070743,-5.577221870422363,32.26864700317387
2007_380,2007_380_rbr_w_offset.tif,-369.6378173828125,332.5601501464844,131.75166728417932,8097,1066793.25,68.77941162958008,134.41065979003906,216.65852661132814
1988_41,1988_41_rbr_w_offset.tif,-609.7952880859375,478.27069091796875,95.49975099601593,56224,5369378.0,155.75522316191055,111.89893341064453,301.3048858642578
1995_1327,1995_1327_rbr_w_offset.tif,-387.296630859375,428.6605224609375,59.16793375420735,59717,3533331.5,139.89364213663976,76.4637222290039,234.33516540527344
1995_1319,1995_1319_rbr_w_offset.tif,-174.25587463378906,332.3359069824219,165.05866198144105,1832,302387.46875,80.13491940861714,171.358154296875,264.28943786621096
1995_1220,1995_1220_rbr_w_offset.tif,-514.3327026367188,609.0446166992188,181.7194938565927,81795,14863746.0,174.14797575210545,175.78875732421875,420.1722290039063
2023_201,2023_201_rbr_w_offset.tif,-404.3514404296875,573.2863159179688,278.4916385368823,271065,75489336.0,141.76702580700186,306.1063537597656,441.2524353027344
1996_644,1996_644_rbr_w_offset.tif,-239.12832641601562,583.3486328125,192.33749156530615,173391,33349590.0,125.98280154533057,180.61672973632812,371.5912780761719
2006_710,2006_710_rbr_w_offset.tif,-18.169918060302734,268.5073547363281,120.40607077685088,1918,230938.84375,47.01749037227212,120.84059143066406,179.4296417236328
1996_598,1996_598_rbr_w_offset.tif,-121.01416015625,551.6646118164062,153.98559971554994,6328,974420.875,138.95410285108062,130.29019165039062,360.7714355468752
1996_540,1996_540_rbr_w_offset.tif,-225.587890625,612.66357421875,257.1280772704072,25469,6548795.0,145.2273694060107,250.9180908203125,457.10297241210947
2010_546,2010_546_rbr_w_offset.tif,-459.3013916015625,586.449462890625,198.54989553023213,78013,15489473.0,157.43800844061562,191.17532348632812,416.73992919921875
1995_1165,1995_1165_rbr_w_offset.tif,-386.2076721191406,574.9370727539062,242.40019342486164,153031,37094744.0,179.16355520234504,278.1634216308594,453.6673583984375
